fips,year,n02
1001,1997,11.891636
1001,2002,11.354984
1001,2007,8.4668274
1001,2012,5.7455239
1003,1997,10.735147
1003,2002,7.4856644
1003,2007,6.0967231
1003,2012,4.8464913
1005,1997,13.788319
1005,2002,11.562856
1005,2007,8.922966
1005,2012,6.3275433
1007,1997,11.572006
1007,2002,10.971339
1007,2007,8.7076721
1007,2012,6.077898
1009,1997,11.820237
1009,2002,12.383422
1009,2007,10.886771
1009,2012,6.5344243
1011,1997,13.674015
1011,2002,11.513818
1011,2007,8.8748569
1011,2012,6.2725201
1013,1997,11.853018
1013,2002,10.182065
1013,2007,7.9476357
1013,2012,5.6260328
1015,1997,12.416918
1015,2002,11.930374
1015,2007,10.044758
1015,2012,6.1069379
1017,1997,13.557492
1017,2002,12.160264
1017,2007,9.7062054
1017,2012,6.280087
1019,1997,12.623919
1019,2002,12.036566
1019,2007,10.019387
1019,2012,6.088479
1021,1997,11.550477
1021,2002,11.082199
1021,2007,8.7538805
1021,2012,6.0909042
1023,1997,8.9714489
1023,2002,7.1003685
1023,2007,5.7770209
1023,2012,4.1383224
1025,1997,10.763981
1025,2002,8.5478354
1025,2007,6.4960542
1025,2012,5.5654135
1027,1997,12.516742
1027,2002,11.98648
1027,2007,9.7604361
1027,2012,6.0233016
1029,1997,13.022387
1029,2002,11.838156
1029,2007,9.7343111
1029,2012,6.0084095
1031,1997,13.738156
1031,2002,11.019637
1031,2007,8.0777779
1031,2012,5.7343202
1033,1997,11.40907
1033,2002,11.984375
1033,2007,11.189848
1033,2012,7.263443
1035,1997,6.2795482
1035,2002,6.6128383
1035,2007,5.5820489
1035,2012,4.02318
1037,1997,12.262094
1037,2002,11.717551
1037,2007,9.4515333
1037,2012,6.1397843
1039,1997,10.229284
1039,2002,6.6586223
1039,2007,5.570981
1039,2012,4.02318
1041,1997,13.651056
1041,2002,11.060637
1041,2007,8.1200266
1041,2012,5.7115035
1043,1997,12.419415
1043,2002,13.146564
1043,2007,11.167088
1043,2012,6.6726303
1045,1997,13.772532
1045,2002,11.221353
1045,2007,8.2949886
1045,2012,5.8131981
1047,1997,11.585336
1047,2002,10.868282
1047,2007,8.236269
1047,2012,5.6452861
1049,1997,12.507206
1049,2002,12.231742
1049,2007,10.673682
1049,2012,6.4469953
1051,1997,12.134442
1051,2002,11.48602
1051,2007,8.857151
1051,2012,6.1540098
1053,1997,11.606843
1053,2002,8.2790804
1053,2007,6.0585747
1053,2012,5.4633541
1055,1997,12.05458
1055,2002,12.146239
1055,2007,10.398859
1055,2012,6.2606888
1057,1997,11.743838
1057,2002,14.02767
1057,2007,12.33036
1057,2012,8.4502935
1059,1997,11.267876
1059,2002,11.974656
1059,2007,10.995913
1059,2012,7.1953101
1061,1997,11.368326
1061,2002,9.3984766
1061,2007,7.2707152
1061,2012,6.6144171
1063,1997,10.249712
1063,2002,9.9660873
1063,2007,4.7666149
1063,2012,3.4260762
1065,1997,10.391564
1065,2002,9.5944338
1065,2007,7.5482473
1065,2012,3.4032764
1067,1997,13.811504
1067,2002,11.436231
1067,2007,8.7686253
1067,2012,6.3370485
1069,1997,13.812294
1069,2002,11.258171
1069,2007,8.3285408
1069,2012,5.8324208
1071,1997,12.21604
1071,2002,12.178093
1071,2007,11.116952
1071,2012,6.5739298
1073,1997,11.821234
1073,2002,12.40286
1073,2007,10.936296
1073,2012,6.5997496
1075,1997,10.445859
1075,2002,13.274397
1075,2007,10.712202
1075,2012,7.5867825
1077,1997,12.246457
1077,2002,12.624141
1077,2007,11.914382
1077,2012,7.2882471
1079,1997,12.29184
1079,2002,12.536839
1079,2007,11.360649
1079,2012,7.2850237
1081,1997,13.500845
1081,2002,12.138062
1081,2007,9.6657438
1081,2012,6.3165898
1083,1997,12.356798
