fips,year,s02
1001,1997,3.0466545
1001,2002,2.7347081
1001,2007,2.6304142
1001,2012,1.2303758
1003,1997,4.4783974
1003,2002,1.8986716
1003,2007,2.9508147
1003,2012,1.5541607
1005,1997,3.5973873
1005,2002,2.7290623
1005,2007,2.7347286
1005,2012,1.3128306
1007,1997,3.769424
1007,2002,2.9463289
1007,2007,2.8025775
1007,2012,1.3404887
1009,1997,4.7548757
1009,2002,3.7327249
1009,2007,3.5007193
1009,2012,1.49213
1011,1997,3.4807458
1011,2002,2.7145343
1011,2007,2.7738516
1011,2012,1.2602594
1013,1997,3.631268
1013,2002,2.4332745
1013,2007,2.6159475
1013,2012,1.1396549
1015,1997,4.753459
1015,2002,3.6040933
1015,2007,3.3519325
1015,2012,1.3862467
1017,1997,4.5665135
1017,2002,3.3756728
1017,2007,3.0614223
1017,2012,1.2916882
1019,1997,4.6323457
1019,2002,3.5169876
1019,2007,3.4294736
1019,2012,1.4074347
1021,1997,4.155128
1021,2002,2.948199
1021,2007,2.6792107
1021,2012,1.3345995
1023,1997,3.6654234
1023,2002,2.2368584
1023,2007,3.2991862
1023,2012,1.8867409
1025,1997,3.9925315
1025,2002,2.244772
1025,2007,3.3457351
1025,2012,1.8131088
1027,1997,4.4935975
1027,2002,3.4122794
1027,2007,3.1579864
1027,2012,1.3650724
1029,1997,4.7164941
1029,2002,3.5420942
1029,2007,3.3034806
1029,2012,1.3032372
1031,1997,3.7153635
1031,2002,2.4946954
1031,2007,2.4385307
1031,2012,1.1530637
1033,1997,4.012702
1033,2002,2.8239396
1033,2007,2.6455328
1033,2012,1.575645
1035,1997,3.9563584
1035,2002,2.1907897
1035,2007,2.2792215
1035,2012,.99438596
1037,1997,4.4897923
1037,2002,3.5354125
1037,2007,3.1595118
1037,2012,1.4011664
1039,1997,3.9877965
1039,2002,2.2836626
1039,2007,2.2356184
1039,2012,1.0318853
1041,1997,3.6006472
1041,2002,2.4597414
1041,2007,2.6365116
1041,2012,1.1504394
1043,1997,4.7731943
1043,2002,3.7918606
1043,2007,3.6794429
1043,2012,1.6198766
1045,1997,3.6973617
1045,2002,2.6081481
1045,2007,2.5892546
1045,2012,1.2238624
1047,1997,3.3951499
1047,2002,2.4902596
1047,2007,2.6454594
1047,2012,1.1804889
1049,1997,4.8422561
1049,2002,3.6236122
1049,2007,3.4253747
1049,2012,1.3637418
1051,1997,3.4370444
1051,2002,2.8520634
1051,2007,2.66167
1051,2012,1.2995019
1053,1997,4.2556901
1053,2002,2.2537968
1053,2007,3.0439742
1053,2012,1.5979415
1055,1997,4.7607789
1055,2002,3.6712191
1055,2007,3.4189005
1055,2012,1.4218081
1057,1997,3.7425973
1057,2002,3.2680631
1057,2007,3.0504375
1057,2012,1.5686709
1059,1997,4.2164702
1059,2002,3.1782546
1059,2007,2.9706776
1059,2012,1.6012818
1061,1997,3.7703114
1061,2002,2.4560547
1061,2007,2.2972822
1061,2012,1.152959
1063,1997,3.4506474
1063,2002,2.6294069
1063,2007,2.840771
1063,2012,1.1080426
1065,1997,3.4523907
1065,2002,2.5049939
1065,2007,2.6305771
1065,2012,1.2116798
1067,1997,3.6977899
1067,2002,2.6972768
1067,2007,2.7003527
1067,2012,1.3124182
1069,1997,3.8556879
1069,2002,2.653172
1069,2007,2.4383242
1069,2012,1.1859721
1071,1997,4.9125595
1071,2002,3.6449308
1071,2007,3.3781784
1071,2012,1.4107341
1073,1997,5.228168
1073,2002,4.0026965
1073,2007,2.9744377
1073,2012,1.4933629
1075,1997,3.4846921
1075,2002,3.3013909
1075,2007,3.1808035
1075,2012,1.6214561
1077,1997,4.362514
1077,2002,3.2082968
1077,2007,3.0694289
1077,2012,1.5783578
1079,1997,4.4762082
1079,2002,3.3583674
1079,2007,3.2018812
1079,2012,1.544456
1081,1997,4.6278219
1081,2002,3.4466383
1081,2007,3.0952833
1081,2012,1.2831011
1083,1997,4.7148099
1083,2002,3.6288223
1083,2007,3.5671895
1083,2012,1.4878578
1085,1997,3.201303
1085,2002,2.5443213
1085,2007,2.5789294
1085,2012,1.1879178
1087,1997,4.157721
1087,2002,2.806385
1087,2007,2.6485674
1087,2012,1.2779511
1089,1997,4.7503977
1089,2002,3.6191733
1089,2007,3.4116666
1089,2012,1.4327023
1091,1997,3.4583225
1091,2002,2.2654765
1091,2007,2.4896953
1091,2012,1.1411716
1093,1997,3.8408208
1093,2002,3.5321763
1093,2007,3.3233316
1093,2012,1.6475656
1095,1997,4.8054543
1095,2002,3.6759791
1095,2007,3.4088626
1095,2012,1.3987731
1097,1997,4.8139715
1097,2002,1.9334748
1097,2007,3.0959857
1097,2012,1.6396413
1099,1997,4.0855765
1099,2002,2.2797813
1099,2007,3.2445493
1099,2012,1.7426661
1101,1997,2.0593803
1101,2002,2.6722529
1101,2007,2.6190684
1101,2012,1.2108279
1103,1997,4.6900764
1103,2002,3.6395593
1103,2007,3.6443567
1103,2012,1.542894
1105,1997,3.4782326
1105,2002,2.5392094
1105,2007,2.6522658
1105,2012,1.2002213
1107,1997,3.4202225
1107,2002,2.848901
1107,2007,3.0187719
1107,2012,1.4547246
1109,1997,3.5895493
1109,2002,2.5831409
1109,2007,2.666997
1109,2012,1.167649
1111,1997,4.7171893
1111,2002,3.6496506
1111,2007,3.3792143
1111,2012,1.2679367
1113,1997,4.2484765
1113,2002,2.8883331
1113,2007,2.5608001
1113,2012,1.2302239
1115,1997,4.7458725
1115,2002,3.6729391
1115,2007,3.4372878
1115,2012,1.4678878
1117,1997,4.8388638
1117,2002,3.7263014
1117,2007,3.0820932
1117,2012,1.4299984
1119,1997,3.3649402
1119,2002,2.2214594
1119,2007,2.2600586
1119,2012,1.0630065
1121,1997,4.6751595
1121,2002,3.5808847
1121,2007,3.1145837
1121,2012,1.4508445
1123,1997,4.4959149
1123,2002,3.5227194
1123,2007,3.1753829
1123,2012,1.3867586
1125,1997,3.7293003
1125,2002,3.0063698
1125,2007,2.9831984
1125,2012,1.4197204
1127,1997,4.5947652
1127,2002,3.6494863
1127,2007,3.2752995
1127,2012,1.5714867
1129,1997,4.6369247
1129,2002,2.5063729
1129,2007,3.3937507
1129,2012,1.8086528
1131,1997,3.5409553
1131,2002,2.2620742
1131,2007,2.4692409
1131,2012,1.1202196
1133,1997,4.5404477
1133,2002,3.5893555
1133,2007,3.2530212
1133,2012,1.6337538
2068,2012,8.3247747
2090,2012,8.3247747
2240,2012,8.3247747
2290,2012,8.3247747
4001,1997,5.8134365
4001,2002,2.440881
4001,2007,1.6836903
4001,2012,1.2155815
4003,1997,3.455322
4003,2002,1.5752184
4003,2007,1.6856523
4003,2012,1.1723484
4005,1997,5.4199562
4005,2002,1.8846623
4005,2007,2.5048819
4005,2012,1.7936615
4007,1997,3.349879
4007,2002,3.9816473
4007,2007,2.8995988
4007,2012,2.634747
4009,1997,3.1271441
4009,2002,2.161109
4009,2007,2.0987751
4009,2012,1.6507095
4011,1997,3.5140476
4011,2002,1.6041321
4011,2007,1.6118199
4011,2012,1.1698657
4012,1997,2.3266664
4012,2002,1.5975828
4012,2007,1.8999307
4012,2012,1.4392931
4013,1997,3.4859385
4013,2002,2.2394054
4013,2007,2.3927519
4013,2012,1.3592342
4015,1997,2.1334889
4015,2002,.50875902
4015,2007,1.0249028
4015,2012,1.1324378
4017,1997,5.0975094
4017,2002,2.5514038
4017,2007,2.1029761
4017,2012,1.5965689
4019,1997,2.6772125
4019,2002,1.6094247
4019,2007,1.5652127
4019,2012,.72199184
4021,1997,3.3416333
4021,2002,2.7152636
4021,2007,2.3052695
4021,2012,1.8048365
4023,1997,3.0288639
4023,2002,1.9062883
4023,2007,1.834031
4023,2012,1.2556922
4025,1997,3.4226506
4025,2002,1.7656527
4025,2007,2.1590202
4025,2012,1.8041303
4027,1997,2.6520813
4027,2002,1.5673722
4027,2007,1.7635107
4027,2012,.92169249
5001,1997,3.1809907
5001,2002,2.7685709
5001,2007,3.4780819
5001,2012,1.6715428
5003,1997,3.6212542
5003,2002,2.5374672
5003,2007,3.2622769
5003,2012,1.7046261
5005,1997,4.2882485
5005,2002,3.0949636
5005,2007,2.8215373
5005,2012,2.3668177
5007,1997,3.5033817
5007,2002,2.2274706
5007,2007,2.5352407
5007,2012,1.8122785
5009,1997,3.5667672
5009,2002,2.8344712
5009,2007,2.4441371
5009,2012,1.8677558
