year,disaster,fips,disaster_dct,disaster_dc,disaster_dt,disaster_d,category,disaster_ct
1997,Hail,01001,1,61,8612,209891,top2,8
1997,Thunderstorm Wind,01001,5,104,9868,216417,top2,8
1997,Winter Storm,01001,2,8,3008,47751,top10,8
2002,Thunderstorm Wind,01001,3,104,12004,216417,top2,12
2002,Hail,01001,4,61,12540,209891,top2,12
2002,Winter Storm,01001,1,8,3376,47751,top10,12
2002,High Wind,01001,4,13,3228,44090,top10,12
2007,Drought,01001,10,16,3616,37442,top10,25
2007,Hail,01001,5,61,12711,209891,top2,25
2007,Thunderstorm Wind,01001,4,104,13015,216417,top2,25
2007,Frost/Freeze,01001,2,9,1851,7678,top20,25
2007,Tornado,01001,1,23,1238,22750,top10,25
2007,Heat,01001,1,22,464,15700,top20,25
2007,Flash Flood,01001,1,16,3688,52939,top10,25
2007,Heavy Snow,01001,1,5,2609,41887,top10,25
2012,Thunderstorm Wind,01001,9,104,16238,216417,top2,33
2012,Tornado,01001,1,23,1057,22750,top10,33
2012,Strong Wind,01001,1,3,1071,14023,top20,33
2012,Hail,01001,4,61,13385,209891,top2,33
2012,Heat,01001,12,22,1632,15700,top20,33
2012,Frost/Freeze,01001,2,9,1006,7678,top20,33
2012,Winter Weather,01001,1,13,2802,26322,top10,33
2012,Wildfire,01001,1,1,480,4995,top30,33
2012,High Wind,01001,1,13,3764,44090,top10,33
2012,Drought,01001,1,16,7883,37442,top10,33
1997,Heat,01002,2,32,739,15700,top20,6
1997,Winter Storm,01002,2,6,3008,47751,top10,6
1997,Cold/Wind Chill,01002,2,2,1579,7587,top20,6
2002,Heat,01002,2,32,1315,15700,top20,6
2002,High Wind,01002,2,12,3228,44090,top10,6
2002,Extreme Cold/Wind Chill,01002,1,1,460,6237,top30,6
2002,Winter Storm,01002,1,6,3376,47751,top10,6
2007,Frost/Freeze,01002,2,8,1851,7678,top20,14
2007,Heat,01002,1,32,464,15700,top20,14
2007,Drought,01002,10,15,3616,37442,top10,14
2007,Strong Wind,01002,1,7,825,14023,top20,14
2012,Heat,01002,15,32,1632,15700,top20,23
2012,Excessive Heat,01002,3,8,1156,5597,top30,23
2012,Dense Fog,01002,1,1,978,7754,top20,23
2012,Strong Wind,01002,1,7,1071,14023,top20,23
2012,Drought,01002,1,15,7883,37442,top10,23
2012,Winter Weather,01002,1,10,2802,26322,top10,23
2012,Frost/Freeze,01002,1,8,1006,7678,top20,23
1997,Hail,01003,15,96,8612,209891,top2,30
1997,Waterspout,01003,2,22,218,3477,top30,30
1997,Thunderstorm Wind,01003,7,106,9868,216417,top2,30
1997,Winter Storm,01003,2,5,3008,47751,top10,30
1997,Flash Flood,01003,1,47,3027,52939,top10,30
1997,Lightning,01003,2,30,841,12849,top20,30
1997,Tornado,01003,1,32,1180,22750,top10,30
2002,Thunderstorm Wind,01003,8,106,12004,216417,top2,25
2002,Hail,01003,5,96,12540,209891,top2,25
2002,Flash Flood,01003,3,47,3234,52939,top10,25
2002,Tornado,01003,3,32,1040,22750,top10,25
2002,Rip Current,01003,2,9,61,806,top30,25
2002,High Wind,01003,1,5,3228,44090,top10,25
2002,Lightning,01003,1,30,875,12849,top20,25
2002,Funnel Cloud,01003,1,11,235,6056,top30,25
2002,Winter Storm,01003,1,5,3376,47751,top10,25
2007,Lightning,01003,3,30,721,12849,top20,30
2007,Flash Flood,01003,4,47,3688,52939,top10,30
2007,Drought,01003,10,15,3616,37442,top10,30
2007,Hail,01003,3,96,12711,209891,top2,30
2007,Heat,01003,1,14,464,15700,top20,30
2007,Frost/Freeze,01003,2,10,1851,7678,top20,30
2007,Thunderstorm Wind,01003,7,106,13015,216417,top2,30
2012,Flash Flood,01003,2,47,2304,52939,top10,22
2012,Thunderstorm Wind,01003,8,106,16238,216417,top2,22
2012,Heat,01003,4,14,1632,15700,top20,22
2012,Frost/Freeze,01003,2,10,1006,7678,top20,22
2012,Hail,01003,2,96,13385,209891,top2,22
2012,Funnel Cloud,01003,1,11,326,6056,top30,22
2012,Drought,01003,1,15,7883,37442,top10,22
2012,Lightning,01003,1,30,591,12849,top20,22
2012,Winter Weather,01003,1,9,2802,26322,top10,22
1997,Winter Storm,01004,2,5,3008,47751,top10,2
2002,Winter Storm,01004,1,5,3376,47751,top10,1
2007,Frost/Freeze,01004,2,9,1851,7678,top20,14
2007,Drought,01004,10,19,3616,37442,top10,14
2007,Heat,01004,1,14,464,15700,top20,14
2007,Heavy Snow,01004,1,5,2609,41887,top10,14
2012,Frost/Freeze,01004,1,9,1006,7678,top20,8
2012,Heat,01004,5,14,1632,15700,top20,8
2012,Drought,01004,1,19,7883,37442,top10,8
2012,Winter Weather,01004,1,10,2802,26322,top10,8
1997,Hail,01005,5,51,8612,209891,top2,9
1997,Winter Storm,01005,2,7,3008,47751,top10,9
1997,Thunderstorm Wind,01005,2,42,9868,216417,top2,9
2002,Tornado,01005,1,11,1040,22750,top10,10
2002,Winter Storm,01005,1,7,3376,47751,top10,10
2002,Hail,01005,4,51,12540,209891,top2,10
2002,Thunderstorm Wind,01005,4,42,12004,216417,top2,10
2007,Drought,01005,10,18,3616,37442,top10,17
2007,Thunderstorm Wind,01005,1,42,13015,216417,top2,17
2007,Frost/Freeze,01005,2,9,1851,7678,top20,17
2007,Funnel Cloud,01005,1,5,340,6056,top30,17
2007,Tornado,01005,2,11,1238,22750,top10,17
2007,Heat,01005,1,18,464,15700,top20,17
2012,Heat,01005,9,18,1632,15700,top20,20
2012,Thunderstorm Wind,01005,7,42,16238,216417,top2,20
2012,Winter Weather,01005,1,8,2802,26322,top10,20
2012,Hail,01005,1,51,13385,209891,top2,20
2012,Drought,01005,1,18,7883,37442,top10,20
2012,Frost/Freeze,01005,1,9,1006,7678,top20,20
1997,Heat,01006,4,105,739,15700,top20,12
1997,Winter Storm,01006,2,7,3008,47751,top10,12
1997,Cold/Wind Chill,01006,6,12,1579,7587,top20,12
2002,Heat,01006,12,105,1315,15700,top20,17
2002,Winter Storm,01006,1,7,3376,47751,top10,17
2002,High Wind,01006,1,10,3228,44090,top10,17
2002,Extreme Cold/Wind Chill,01006,3,22,460,6237,top30,17
2007,Strong Wind,01006,1,7,825,14023,top20,14
2007,Drought,01006,10,26,3616,37442,top10,14
2007,Frost/Freeze,01006,2,11,1851,7678,top20,14
2007,Heat,01006,1,105,464,15700,top20,14
2012,Heat,01006,13,105,1632,15700,top20,17
2012,Frost/Freeze,01006,1,11,1006,7678,top20,17
2012,Drought,01006,1,26,7883,37442,top10,17
2012,Winter Weather,01006,1,17,2802,26322,top10,17
2012,Excessive Heat,01006,1,7,1156,5597,top30,17
1997,Thunderstorm Wind,01007,3,55,9868,216417,top2,6
1997,Winter Storm,01007,2,6,3008,47751,top10,6
1997,Hail,01007,1,43,8612,209891,top2,6
2002,Hail,01007,1,43,12540,209891,top2,3
2002,Winter Storm,01007,1,6,3376,47751,top10,3
2002,Thunderstorm Wind,01007,1,55,12004,216417,top2,3
2007,Heat,01007,3,15,464,15700,top20,25
2007,Hail,01007,4,43,12711,209891,top2,25
2007,Drought,01007,10,19,3616,37442,top10,25
2007,Strong Wind,01007,1,5,825,14023,top20,25
2007,Tornado,01007,4,11,1238,22750,top10,25
2007,Frost/Freeze,01007,2,7,1851,7678,top20,25
2007,Thunderstorm Wind,01007,1,55,13015,216417,top2,25
2012,Thunderstorm Wind,01007,6,55,16238,216417,top2,18
2012,Flash Flood,01007,1,11,2304,52939,top10,18
2012,Hail,01007,2,43,13385,209891,top2,18
2012,Winter Weather,01007,1,14,2802,26322,top10,18
2012,Heat,01007,6,15,1632,15700,top20,18
2012,Drought,01007,1,19,7883,37442,top10,18
2012,Frost/Freeze,01007,1,7,1006,7678,top20,18
1997,Winter Storm,01008,2,6,3008,47751,top10,2
